Date,Noise_bp
02/01/1987,6.04327456
05/01/1987,5.75653258
06/01/1987,6.15327799
07/01/1987,5.74054641
08/01/1987,6.10725327
09/01/1987,5.52545874
12/01/1987,5.51740693
13/01/1987,5.95318618
14/01/1987,5.60742876
15/01/1987,5.16641983
16/01/1987,6.3157512
20/01/1987,5.65060314
21/01/1987,5.35207334
22/01/1987,4.8593507
23/01/1987,5.87675743
26/01/1987,4.91294232
27/01/1987,5.64354399
28/01/1987,5.44408451
29/01/1987,4.76007397
30/01/1987,4.98893012
02/02/1987,4.79862247
03/02/1987,4.86223045
04/02/1987,5.42931592
05/02/1987,4.92912064
06/02/1987,4.723125
09/02/1987,4.46310057
10/02/1987,4.32406859
11/02/1987,4.33348142
12/02/1987,4.57718158
13/02/1987,4.91794935
17/02/1987,4.42747263
18/02/1987,4.34944628
19/02/1987,4.65109527
20/02/1987,4.37984268
23/02/1987,4.30874914
24/02/1987,4.31038019
25/02/1987,4.5939441
26/02/1987,4.89568949
27/02/1987,4.93370014
02/03/1987,4.80320132
03/03/1987,4.80440011
04/03/1987,4.98161521
05/03/1987,4.99160117
06/03/1987,4.93096158
09/03/1987,4.98877882
10/03/1987,4.34559249
11/03/1987,4.81320107
12/03/1987,4.85382207
13/03/1987,4.68726553
16/03/1987,4.68878018
17/03/1987,4.96252115
18/03/1987,4.64950607
19/03/1987,4.72026949
20/03/1987,4.46371763
23/03/1987,4.05945024
24/03/1987,4.02809881
25/03/1987,3.98391257
26/03/1987,4.69543522
27/03/1987,4.10049609
30/03/1987,4.45043128
31/03/1987,4.48183366
01/04/1987,3.94543488
02/04/1987,4.15918542
03/04/1987,3.81248129
06/04/1987,4.18588111
07/04/1987,4.4255987
08/04/1987,4.49054469
09/04/1987,5.14022416
10/04/1987,5.74111674
13/04/1987,6.2244055
14/04/1987,6.00747784
15/04/1987,5.86838515
16/04/1987,6.10323403
20/04/1987,5.80788723
21/04/1987,5.87078653
22/04/1987,5.58478409
23/04/1987,5.83875295
24/04/1987,5.54082576
27/04/1987,5.74290618
28/04/1987,5.59726477
29/04/1987,5.87616514
30/04/1987,6.01139062
01/05/1987,6.12433897
04/05/1987,5.84839606
05/05/1987,5.83656575
06/05/1987,6.04196346
07/05/1987,6.34475048
08/05/1987,6.53457963
11/05/1987,6.2450814
12/05/1987,6.5354971
13/05/1987,6.19311862
14/05/1987,6.18407455
15/05/1987,6.91114605
18/05/1987,7.02902391
19/05/1987,6.70306346
20/05/1987,6.95110644
21/05/1987,6.97566597
22/05/1987,6.826529
26/05/1987,7.42417208
27/05/1987,6.64631994
28/05/1987,6.36042121
29/05/1987,6.30299316
01/06/1987,5.88768969
02/06/1987,6.09571505
03/06/1987,6.31943518
04/06/1987,6.05036525
05/06/1987,6.34588908
08/06/1987,7.2833191
09/06/1987,6.6964575
10/06/1987,6.16774176
11/06/1987,6.3900648
12/06/1987,6.32846098
15/06/1987,6.32491621
16/06/1987,6.25369813
17/06/1987,6.07162938
18/06/1987,6.28116314
19/06/1987,4.86903663
22/06/1987,4.6849019
23/06/1987,4.60483222
24/06/1987,4.73390187
25/06/1987,4.82697136
26/06/1987,5.13589378
29/06/1987,5.03924797
30/06/1987,5.96024373
01/07/1987,6.11761933
02/07/1987,5.98929748
06/07/1987,6.10014768
07/07/1987,6.28864133
08/07/1987,4.62759629
09/07/1987,4.98013369
10/07/1987,4.82824401
13/07/1987,4.75359816
14/07/1987,4.76892577
15/07/1987,4.75781277
16/07/1987,4.94957124
17/07/1987,4.2062181
20/07/1987,4.6011335
21/07/1987,4.76970839
22/07/1987,5.11265181
23/07/1987,5.15388814
24/07/1987,5.40124741
27/07/1987,5.87383053
28/07/1987,5.38526914
29/07/1987,5.54484749
30/07/1987,5.50850581
